Account Statement
Account No: XXXXXXXX4321
Period: 01/09/2026 to 12/09/2026

Date,Narration,Chq./Ref.No.,Value Dt,Withdrawal Amt.,Deposit Amt.,Closing Balance
01/09/2026,"NEFT/SALARY/NORTHWIND TRADERS/SEP26",N26091234,01/09/2026,"","1,05,000.00","2,41,560.40"
02/09/2026,"UPI-MR VERMA-verma@okhdfcbank-HDFC0001234-425512345678-RENT SEP",425512345678,02/09/2026,"22,000.00","","2,19,560.40"
03/09/2026,"POS 4321XXXXXXXX9876 STARBUCKS COFFEE",S2609031,03/09/2026,"385.00","","2,19,175.40"
04/09/2026,"UPI/ZOMATO/425612345679/Order",425612345679,04/09/2026,"612.00","","2,18,563.40"
05/09/2026,"ACH/GROWW SIP/MF",G2609050,05/09/2026,"5,000.00","","2,13,563.40"
06/09/2026,"UPI/BLINKIT/425712345680/Grocery",425712345680,06/09/2026,"1,240.00","","2,12,323.40"
07/09/2026,"BBPS/TATA POWER/425812345681",425812345681,07/09/2026,"1,870.00","","2,10,453.40"
08/09/2026,"REFUND/MYNTRA/425912345682",425912345682,08/09/2026,"","1,299.00","2,11,752.40"
09/09/2026,"POS 4321XXXXXXXX9876 APOLLO PHARMACY",S2609091,09/09/2026,"463.50","","2,11,288.90"
10/09/2026,"UPI/UBER INDIA/426012345683/Trip",426012345683,10/09/2026,"218.00","","2,11,070.90"
11/09/2026,"IMPS/CC PAYMENT/426112345684",426112345684,11/09/2026,"14,320.00","","1,96,750.90"
12/09/2026,"INT.PD:426212345685",426212345685,12/09/2026,"","312.40","1,97,063.30"

STATEMENT SUMMARY :-
Opening Balance,Dr Count,Cr Count,Debits,Credits,Closing Bal
